"編號","所在園區","年齡","性別","體型","毛色","驅蟲紀錄","預防注射","絕育","訓犬狀態","性情","備註","被認養日期","照片"
"10404086002","南屯園區","成犬","母","中型(13-23公斤)","黑棕","已驅腸道寄生蟲","七合一,狂犬病疫苗","
  已絶育
  ","
","活潑,好動,親人","
","","https://g0v.github.io/animal.coa/%E5%8F%B0%E4%B8%AD%E5%B8%82/2015-06-03/3a569ee9a13ed7b92cafb240e7245d02ae79b707.jpg"
"10402096010","南屯園區","成犬","公","大型(23公斤以上)","米黃","已驅腸道寄生蟲","七合一,狂犬病疫苗","
  已絶育
  ","
","活潑,好動,親人","
","","https://g0v.github.io/animal.coa/%E5%8F%B0%E4%B8%AD%E5%B8%82/2015-06-03/33fc86350cfeedd5a410955803a87947cd8c2fa1.jpg"
"10401216006","后里園區","成犬","母","中型(13-23公斤)","黑色","已驅腸道寄生蟲","七合一,狂犬病疫苗","
  已絶育
  ","
","活潑,好動,親熟人","
","","https://g0v.github.io/animal.coa/%E5%8F%B0%E4%B8%AD%E5%B8%82/2015-06-03/045d3b2a4e12998580e60c5f9ea83930bba0a0be.jpg"
"10401266008","南屯園區","成犬","公","中型(13-23公斤)","黑虎斑","已驅腸道寄生蟲","七合一,狂犬病疫苗","
  已絶育
  ","
","活潑,好動,親人","
","","https://g0v.github.io/animal.coa/%E5%8F%B0%E4%B8%AD%E5%B8%82/2015-06-03/e68e7901f67bbf8f3b38a8b6804869d2b78a385e.jpg"
"10403250007","南屯園區","成犬","母","中型(13-23公斤)","黑白黃","已驅腸道寄生蟲","犬七合一, 狂犬病疫苗","
  已絶育
  ","
","活潑, 親人","
","","https://g0v.github.io/animal.coa/%E5%8F%B0%E4%B8%AD%E5%B8%82/2015-06-03/eedbe558c702dc776b7c8f8bd6c79a4c97d90440.jpg"
"10402260009","南屯園區","成犬","公","中型(13-23公斤)","黑白","已驅腸道寄生蟲","犬七合一, 狂犬病疫苗","
  已絶育
  ","
","溫和親人, 喜歡互動","
","","https://g0v.github.io/animal.coa/%E5%8F%B0%E4%B8%AD%E5%B8%82/2015-06-03/10f44e6f03f7d4d271eede6c041e3ba74cd65f01.jpg"
"10401186001","南屯園區","成犬","公","中型(13-23公斤)","黃白","已驅腸道寄生蟲","犬七合一, 狂犬病疫苗","
  已絶育
  ","
","溫和親人","
","","https://g0v.github.io/animal.coa/%E5%8F%B0%E4%B8%AD%E5%B8%82/2015-06-03/79e2b913bc86cecb4131038cdf7cd9b3df4bd1ca.jpg"
"10401056011","南屯園區","成犬","公","大型(23公斤以上)","黑白黃","已驅腸道寄生蟲","七合一,狂犬病疫苗","
  已絶育
  ","
","活潑,好動,親人","
","","https://g0v.github.io/animal.coa/%E5%8F%B0%E4%B8%AD%E5%B8%82/2015-06-03/c929e6f785969ef94f1b654c0e392aaca9f318c1.jpg"
"10402050012","南屯園區","成犬","公","中型(13-23公斤)","黑色","已驅腸道寄生蟲","七合一,狂犬病疫苗","
  已絶育
  ","
","活潑,好動,親人","
","","https://g0v.github.io/animal.coa/%E5%8F%B0%E4%B8%AD%E5%B8%82/2015-06-03/168ee82b14d08dd97db967c40c7cbd553bded063.jpg"
"10401056012","南屯園區","成犬","公","中型(13-23公斤)","咖啡","已驅腸道寄生蟲","七合一,狂犬病疫苗","
  已絶育
  ","
","活潑,好動,親人","
","","https://g0v.github.io/animal.coa/%E5%8F%B0%E4%B8%AD%E5%B8%82/2015-06-03/530af5716de8ce27cee99220e275119d1876b455.jpg"
"10401200010","南屯園區","成犬","公","中型(13-23公斤)","黑色","已驅腸道寄生蟲","犬七合一, 狂犬病疫苗","
  已絶育
  ","
","活潑親人, 喜歡互動","
","","https://g0v.github.io/animal.coa/%E5%8F%B0%E4%B8%AD%E5%B8%82/2015-06-03/c5c0bd61eccbe3adae9e7d1c0cf615d885942cdd.jpg"
"10311200018","南屯園區","成犬","公","中型(13-23公斤)","黑白黃","已驅腸道寄生蟲","犬七合一, 狂犬病疫苗","
  已絶育
  ","
","溫和文靜, 乖巧親人","
","","https://g0v.github.io/animal.coa/%E5%8F%B0%E4%B8%AD%E5%B8%82/2015-06-03/cdc93ddbdbdbb7cc69e7bb0e75a7aae4926f46dd.jpg"
"10311050022","南屯園區","成犬","母","中型(13-23公斤)","黑色","已驅腸道寄生蟲","七合一,狂犬病疫苗","
  已絶育
  ","
","溫和","認養主打星:一歲以上混種犬...
					  ","","https://g0v.github.io/animal.coa/%E5%8F%B0%E4%B8%AD%E5%B8%82/2015-06-03/286e29f629c4e66d33ab0c9b0e29184b80b18193.jpg"
