收容編號,進所日期,捕獲鄉鎮市,進所原因,年齡,性別,毛色,品種,體型,絕育,晶片號碼,位置,籠舍,url,image_url
1040644,104年03月24日,"三星  人和村",公所捕獲,3-7歲,母,"棕 黑項圈",混種狗,大,,無,宜蘭縣動植物防疫所,E-1,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7249,http://asms.wsn.com.tw/Eland/Upload/104-0644/AF7F4C2A5A6E48959FCBE3777ADC66A3.jpg
1040647,104年03月24日,"宜蘭  縣政八街",公所捕獲,3-7歲,公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,D-11,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7252,http://asms.wsn.com.tw/Eland/Upload/104-0647/5ECB04E2D19B4A8FA67D7E8A4B68B464.jpg
1040650,104年03月24日,"頭城  文化路",公所捕獲,3-7歲,公,"黃 藍項圈",混種狗,大,,無,宜蘭縣動植物防疫所,D-9,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7255,http://asms.wsn.com.tw/Eland/Upload/104-0650/F56E0DCA842E48FFB44BD9E17F5423BD.jpg
1040651,104年03月25日,"冬山  梅花路",本所捕獲,3-7歲,母,棕白,混種狗,大,,無,宜蘭縣動植物防疫所,E-8,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7256,http://asms.wsn.com.tw/Eland/Upload/104-0651/B7109510B7684C0BA62627AF7DBC1E76.jpg
1040660,104年03月26日,"五結  五結路",民眾送交,"1-3 歲",公,虎斑,混種狗,大,,無,宜蘭縣動植物防疫所,B-11,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7265,http://asms.wsn.com.tw/Eland/Upload/104-0660/B11738026DCA4FEC9AE721556D2DEED7.jpg
1040669,104年03月27日,"員山  娃娃民宿",公所捕獲,3-7歲,母,黃,混種狗,大,,無,宜蘭縣動植物防疫所,哺-1,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7274,http://asms.wsn.com.tw/Eland/Upload/104-0669/227457C663524355B2064919CE15DA20.jpg
1040670,104年03月27日,"五結  鎮安村",公所捕獲,3-7歲,母,咖啡,混種狗,大,,無,宜蘭縣動植物防疫所,E-13,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7275,http://asms.wsn.com.tw/Eland/Upload/104-0670/9F199A25CBEC4A4885891D05DAA5DD01.jpg
1040678,104年03月27日,"羅東  豐年路",公所捕獲,3-7歲,公,黑,混種狗,大,,無,宜蘭縣動植物防疫所,B-7,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7283,http://asms.wsn.com.tw/Eland/Upload/104-0678/A83316CC08E849B0A77ACF56098981C0.jpg
1040681,104年03月30日,"冬山  梅花路",民眾送交,"1-3 歲",母,黃白,混種狗,大,,無,宜蘭縣動植物防疫所,E-6,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7291,http://asms.wsn.com.tw/Eland/Upload/104-0681/145380D5B7A94C7C95EB30B4CF801773.jpg
1040682,104年03月30日,"五結  五濱路",民眾送交,"1-3 歲",,虎斑,混種貓,大,,無,宜蘭縣動植物防疫所,幸福貓舍-,http://asms.wsn.com.tw/Eland/ieland/el_LoseDetail.aspx?ID=7292,http://asms.wsn.com.tw/Eland/Upload/104-0682/B03BC6938D8C4EEFB85DA60CDA678831.jpg
