"編號","入所","捕捉/拾獲地點","動物別","品種","性別","毛色特徵","身份註記","備註","照片"
"150528-203","104年5月28日入所","南投市東山路","犬","混種","母","虎班色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/95c4e74048f4042ff0cd7e0e18339981da061320.jpg"
"150528-205","104年5月28日入所","草屯鎮中正路權郎街","犬","混種","公","黑色","","綠色項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/05912c469281c67a210d017b79945f72747d5f09.jpg"
"150527-幼犬","104年5月27日入所","埔里鎮武界路","犬","混種","公","黑 胸白色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/76475e154ea2c9d36fa3f62df7e71764b5b89aa7.jpg"
"150527-幼犬","104年5月27日入所","埔里鎮武界路","犬","混種","公","灰黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/d6aac40d05eaf9e62137fd7cdd38b135f21ba991.jpg"
"150527-幼犬","104年5月27日入所","埔里鎮武界路","犬","混種","公","黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/62871d8f49e054293f88d0c210f31c96985fb56c.jpg"
"150527-幼犬","104年5月27日入所","埔里鎮武界路","犬","混種","公","黑 胸白色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/ccd42fec334138ed1007ef9a20b7ee620025e327.jpg"
"150527-幼犬","104年5月27日入所","埔里鎮武界路","犬","混種","公","灰黃色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/b81e08c79c459d8246c1645eba20b93db4d8ed38.jpg"
"150527-幼犬","104年5月27日入所","埔里鎮珠生路","犬","混種","公","黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/5674afabad2bbc0ec199c9d768574c70de2c1f27.jpg"
"150527-幼犬","104年5月27日入所","中寮鄉義和村永平路","犬","混種","母","黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/b74fb038e7091561a465a0a738b6e24ca24ff468.jpg"
"150527-幼犬","104年5月27日入所","中寮鄉義和村永平路","犬","混種","母","黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/5c2f5f00483389497620a9d45d1cd5c2f81f85d0.jpg"
"150527-幼犬","104年5月27日入所","中寮鄉義和村永平路","犬","混種","母","黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/f6d70a2975b9445acffb37d3a7f8ffaab51ce623.jpg"
"150527-幼犬","104年5月27日入所","中寮鄉義和村永平路","犬","混種","公","黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/9fc773138daa96bcd86ade90d88a85c1530629ba.jpg"
"150527-幼犬","104年5月27日入所","中寮鄉義和村永平路","犬","混種","母","灰黃色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/60a1cf64d51aef23fc82b49848b8281252585891.jpg"
"150527-幼犬","104年5月27日入所","中寮鄉義和村永平路","犬","混種","公","虎斑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/23214703e07718ca055aad6d80530abdc044e60f.jpg"
"150527-幼犬","104年5月27日入所","中寮鄉義和村永平路","犬","混種","公","黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/c0c3da2cc5431d6882e49e3a27cc0ce088c097fc.jpg"
"150527-幼犬*2","104年5月27日入所","鹿谷鄉初鄉村中正路","犬","混種","公","虎斑 黑黃色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/18b3837501ab37dbb1cab04e16743bff97123bac.jpg"
"150527-154","104年5月27日入所","鹿谷鄉竹豐村中湖巷","犬","混種","母","黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/897489986750e38efe815d7b728fa925beca4a95.jpg"
"150527-幼犬","104年5月27日入所","水里鄉上安村","犬","混種","公","虎斑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/ef044b8ef586cdca73faf9b8a9c29fd519f5928f.jpg"
"150526-貓","104年5月26日入所","草屯鎮建成四街","貓","混種","","黑白色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/10cbba04ad7ce826f6d762ce5fd971c6b833f157.jpg"
"150526-貓","104年5月26日入所","鹿谷鄉凍頂巷","貓","混種","","白色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/9c8d1e25958bbf75289951a9bbc0ec858429478f.jpg"
"150526-258","104年5月26日入所","南投市彰南路","犬","混種","公","黑色","","無項圈 尾巴外傷","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/bdbc2208ec30cbfe46bafd719e23bbed63282d26.jpg"
"150526-158","104年5月26日入所","草屯鎮茄荖東路","犬","似高加索","母","灰黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/7e7d7aa51c1eea255a34a2bde3260659de611e8f.jpg"
"150526-080","104年5月26日入所","草屯鎮碧峰路","犬","混種","公","黃色","","褪色紅項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/9589a443a6e04e936402feca22118b05f69b05d8.jpg"
"150526-幼犬","104年5月26日入所","鹿谷鄉竹豐村","犬","混種","母","黑 胸白色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/913f8e800324c4048a2f6f8f1863024cfb1e0500.jpg"
"150526-幼犬","104年5月26日入所","鹿谷鄉竹豐村","犬","混種","母","黑黃色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/f276627e9c2f6cd116d14c5a9ade20477f304554.jpg"
"150526-幼犬","104年5月26日入所","鹿谷鄉竹豐村","犬","混種","母","黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/364e1bad090a9ce5d0ef7f6652e573d2bd0fca97.jpg"
"150526-幼犬","104年5月26日入所","鹿谷鄉初鄉村","犬","混種","母","黑黃色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/5c08c6d62931305ba284e6ff1791bba743e80a85.jpg"
"150525-幼貓","104年5月25日入所","南投市八卦路鳳鳴消防隊協助","貓","混種","","虎斑白色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/91b81a05237bcccc9ed63231ba22fe429d014412.jpg"
"150524-幼貓","104年5月24日入所","草屯鎮中正路救援","貓","混種","","橘白色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/9a65c88d504bd14c1890d294e27598cbd777b70a.jpg"
"150522-幼犬","104年5月22日入所","南投休息站救援","犬","混種","母","黑黃色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/eb2d3158ed1b436bc4f745fdf6f7a5c3ae88b328.jpg"
"150522-044","104年5月22日入所","竹山鎮田中巷救援","犬","狼犬","公","黑黃色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/d21305b7ffed2b7b1568eac73046545f6464c197.jpg"
"150522-100","104年5月22日入所","南投市東山路","犬","混種","母","黃色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/91cdcecf06da16f5ace2c3b550af9a6e0ca289c6.jpg"
"150522-207","104年5月22日入所","竹山鎮過溪國小","犬","混種","公","黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/b9545f6157c902e50b23776583c71d2e755b567b.jpg"
"150522-幼犬","104年5月22日入所","南投市軍功里東山路","犬","混種","母","黑色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/c2ba98f350a91848b909cad3afcbaea86b6dd5d2.jpg"
"150522-131","104年5月22日入所","南投市鳳鳴路","犬","混種","母","黃色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/ae52b2794a34f5760785ea75745c2d78fe7a5563.jpg"
"150522-貓","104年5月22日入所","南投市祖祠路","貓","混種","","橘色","","無項圈","https://g0v.github.io/animal.coa/%E5%8D%97%E6%8A%95%E7%B8%A3/images/2015-06-04/63b1a6bae9b6e37279c39f665086616aa7eb6390.jpg"
